"","dataset","model","FEest","SE","DF","pvalue","residual","phi","nobs","N","u95CI","l95CI","AIC","BIC","LL","RMSE"
"(Intercept)","DF1","mm_H2s","8.09358594416755","2.43453937539217","2862","0.000896985499555397","179.854177252807","-0.0135788726872781","2936","70","12.8652831199362","3.3218887683989","23906.4518170203","24050.0298093442","-11929.2259085102","15.9235354001287"
"moment_NA_bray.bal.succw","DF1","mm_H2s","3.22885873828248","3.0385284270242","2862","0.288035358429926","179.854177252807","-0.0135788726872781","2936","70","9.18437445524992","-2.72665697868496","23906.4518170203","24050.0298093442","-11929.2259085102","15.9235354001287"
"person_CESD","DF1","mm_H2s","49.2328676760264","9.87791233321391","67","4.64822092593872e-06","179.854177252807","-0.0135788726872781","2936","70","68.5935758491257","29.8721595029271","23906.4518170203","24050.0298093442","-11929.2259085102","15.9235354001287"
"timecw","DF1","mm_H2s","0.0348343959598874","0.0140159603557781","2862","0.0129995569281997","179.854177252807","-0.0135788726872781","2936","70","0.0623056782572125","0.00736311366256229","23906.4518170203","24050.0298093442","-11929.2259085102","15.9235354001287"
"moment_NA_bray.bal.succb","DF1","mm_H2s","13.7183358085346","20.4064144853001","67","0.50373247376634","179.854177252807","-0.0135788726872781","2936","70","53.7149081997228","-26.2782365826536","23906.4518170203","24050.0298093442","-11929.2259085102","15.9235354001287"
"moment_NAcwL1D","DF1","mm_H2s","0.345601459113353","0.0291782006369491","2862","1.24380832052861e-31","179.854177252807","-0.0135788726872781","2936","70","0.402790732361773","0.288412185864933","23906.4518170203","24050.0298093442","-11929.2259085102","15.9235354001287"
"moment_NA_bray.bal.succw:person_CESD","DF1","mm_H2s","-14.5645656348118","9.87618639408088","2862","0.14039902385922","179.854177252807","-0.0135788726872781","2936","70","4.79275969758669","-33.9218909672104","23906.4518170203","24050.0298093442","-11929.2259085102","15.9235354001287"
"(Intercept)","DF1","mm_H2r","6.83222556583007","3.0715588440803","2860","0.0262026030671639","175.934789154162","-0.0291104727090699","2936","70","12.8524809002275","0.811970231432683","23877.3887866846","24104.7076319377","-11900.6943933423","15.5649177014948"
"moment_NA_bray.bal.suc","DF1","mm_H2r","6.06724343003958","3.38848992226754","2860","0.073472082568252","175.934789154162","-0.0291104727090699","2936","70","12.708683677684","-0.574196817604809","23877.3887866846","24104.7076319377","-11900.6943933423","15.5649177014948"
"moment_NA_bray.gra.suc","DF1","mm_H2r","1.72765274391255","2.32943987656765","2860","0.45835416244426","175.934789154162","-0.0291104727090699","2936","70","6.29335490198513","-2.83804941416004","23877.3887866846","24104.7076319377","-11900.6943933423","15.5649177014948"
"person_CESD","DF1","mm_H2r","59.363239790851","11.6837006716638","68","3.14229126445443e-06","175.934789154162","-0.0291104727090699","2936","70","82.2632931073121","36.4631864743899","23877.3887866846","24104.7076319377","-11900.6943933423","15.5649177014948"
"timecw","DF1","mm_H2r","0.0313947720040247","0.0137139660322603","2860","0.0221370648134111","175.934789154162","-0.0291104727090699","2936","70","0.0582741454272549","0.00451539858079461","23877.3887866846","24104.7076319377","-11900.6943933423","15.5649177014948"
"moment_NAcwL1D","DF1","mm_H2r","0.318136101252988","0.0300963846024325","2860","1.20477966515171e-25","175.934789154162","-0.0291104727090699","2936","70","0.377125015073755","0.25914718743222","23877.3887866846","24104.7076319377","-11900.6943933423","15.5649177014948"
"moment_NA_bray.bal.suc:person_CESD","DF1","mm_H2r","-37.8581884279118","11.4643820997137","2860","0.000970940250281884","175.934789154162","-0.0291104727090699","2936","70","-15.387999512473","-60.3283773433506","23877.3887866846","24104.7076319377","-11900.6943933423","15.5649177014948"
"moment_NA_bray.gra.suc:person_CESD","DF1","mm_H2r","-27.1949239952373","8.6745319287064","2860","0.00173579309048134","175.934789154162","-0.0291104727090699","2936","70","-10.1928414149728","-44.1970065755018","23877.3887866846","24104.7076319377","-11900.6943933423","15.5649177014948"
"(Intercept)","DF2","mm_H1s","14.7933824150145","1.06165556053539","4554","2.99683609097762e-43","95.6911665672306","-0.0606099768335445","4651","94","16.8742273136638","12.7125375163651","34886.5770879543","34970.3459928276","-17430.2885439772","12.2224593958458"
"moment_NA_bray.bal.succw","DF2","mm_H1s","-4.3279306937486","0.925477918970317","4554","3.00362390127484e-06","95.6911665672306","-0.0606099768335445","4651","94","-2.51399397256678","-6.14186741493042","34886.5770879543","34970.3459928276","-17430.2885439772","12.2224593958458"
"moment_NAcwL1D","DF2","mm_H1s","0.365883306747962","0.0244279004685792","4554","1.51847454796061e-49","95.6911665672306","-0.0606099768335445","4651","94","0.413761991666377","0.318004621829547","34886.5770879543","34970.3459928276","-17430.2885439772","12.2224593958458"
"timecw","DF2","mm_H1s","0.00026575507059099","0.00733081104458562","4554","0.971083174300448","95.6911665672306","-0.0606099768335445","4651","94","0.0146341447179788","-0.0141026345767968","34886.5770879543","34970.3459928276","-17430.2885439772","12.2224593958458"
"moment_NA_bray.bal.succb","DF2","mm_H1s","-29.7651292496059","10.797626983563","92","0.00704219548972928","95.6911665672306","-0.0606099768335445","4651","94","-8.60178036182236","-50.9284781373895","34886.5770879543","34970.3459928276","-17430.2885439772","12.2224593958458"
"(Intercept)","DF2","mm_H1r","15.4370356549218","1.31886207018927","4553","3.35688509539927e-31","93.3920795470247","-0.0383560477508268","4651","94","18.0220053124928","12.8520659973508","34865.2769681559","34974.8209206825","-17415.6384840779","12.3281813542275"
"moment_NA_bray.bal.suc","DF2","mm_H1r","-5.58417233419264","1.16459556608609","4553","1.67910459692448e-06","93.3920795470247","-0.0383560477508268","4651","94","-3.30156502466391","-7.86677964372138","34865.2769681559","34974.8209206825","-17415.6384840779","12.3281813542275"
"moment_NA_bray.gra.suc","DF2","mm_H1r","-0.391164337619595","1.08976683297991","4553","0.719654263829932","93.3920795470247","-0.0383560477508268","4651","94","1.74477865502103","-2.52710733026022","34865.2769681559","34974.8209206825","-17415.6384840779","12.3281813542275"
"moment_NAcwL1D","DF2","mm_H1r","0.327473914905552","0.0251492436548152","4553","4.40412797412557e-38","93.3920795470247","-0.0383560477508268","4651","94","0.37676643246899","0.278181397342114","34865.2769681559","34974.8209206825","-17415.6384840779","12.3281813542275"
"timecw","DF2","mm_H1r","0.00192233822530044","0.00752460220192678","4553","0.798368767408069","93.3920795470247","-0.0383560477508268","4651","94","0.0166705585410769","-0.012825882090476","34865.2769681559","34974.8209206825","-17415.6384840779","12.3281813542275"
"(Intercept)","DF2","mm_H2s","6.4505092858234","1.28301340741231","4553","5.15662481933722e-07","95.6208856981044","-0.0587478156036941","4651","94","8.96521556435152","3.93580300729528","34840.0113364096","34994.6512886373","-17396.0056682048","11.5278917092299"
"moment_NA_bray.bal.succw","DF2","mm_H2s","-0.273571133229335","1.50255487622335","4553","0.855535392134098","95.6208856981044","-0.0587478156036941","4651","94","2.67143642416842","-3.21857869062709","34840.0113364096","34994.6512886373","-17396.0056682048","11.5278917092299"
"person_CESD","DF2","mm_H2s","33.6521325468556","6.35287607028696","91","8.13030493575644e-07","95.6208856981044","-0.0587478156036941","4651","94","46.1037696446181","21.2004954490932","34840.0113364096","34994.6512886373","-17396.0056682048","11.5278917092299"
"timecw","DF2","mm_H2s","-0.000270447369890495","0.00733389923408031","4553","0.970585220604883","95.6208856981044","-0.0587478156036941","4651","94","0.0141039951289069","-0.0146448898686879","34840.0113364096","34994.6512886373","-17396.0056682048","11.5278917092299"
"moment_NA_bray.bal.succb","DF2","mm_H2s","-19.0652374625855","7.8394057720903","91","0.0169745232861862","95.6208856981044","-0.0587478156036941","4651","94","-3.70000214928846","-34.4304727758825","34840.0113364096","34994.6512886373","-17396.0056682048","11.5278917092299"
"moment_NAcwL1D","DF2","mm_H2s","0.366822809562616","0.0243164010775718","4553","3.24541557333283e-50","95.6208856981044","-0.0587478156036941","4651","94","0.414482955674657","0.319162663450576","34840.0113364096","34994.6512886373","-17396.0056682048","11.5278917092299"
"moment_NA_bray.bal.succw:person_CESD","DF2","mm_H2s","-17.7686432654288","6.55926961443605","4553","0.00677518454460309","95.6208856981044","-0.0587478156036941","4651","94","-4.91247482113414","-30.6248117097235","34840.0113364096","34994.6512886373","-17396.0056682048","11.5278917092299"
"(Intercept)","DF2","mm_H2r","4.65564485733324","1.4401010082808","4551","0.00123431878751718","92.7699698831877","-0.0365249655661749","4651","94","7.47824283356362","1.83304688110287","34811.4524189062","35056.2908264509","-17367.7262094531","11.4943674463714"
"moment_NA_bray.bal.suc","DF2","mm_H2r","1.85007943797493","1.78608735576843","4551","0.300337389369196","92.7699698831877","-0.0365249655661749","4651","94","5.35081065528104","-1.65065177933119","34811.4524189062","35056.2908264509","-17367.7262094531","11.4943674463714"
"moment_NA_bray.gra.suc","DF2","mm_H2r","5.8190567241646","1.72320414782132","4551","0.000739273554483103","92.7699698831877","-0.0365249655661749","4651","94","9.19653685389438","2.44157659443481","34811.4524189062","35056.2908264509","-17367.7262094531","11.4943674463714"
"person_CESD","DF2","mm_H2r","41.992703450424","7.66204870323568","92","3.67898895668737e-07","92.7699698831877","-0.0365249655661749","4651","94","57.0103189087659","26.9750879920821","34811.4524189062","35056.2908264509","-17367.7262094531","11.4943674463714"
"timecw","DF2","mm_H2r","0.00110490200011484","0.00751489978829356","4551","0.883116294283679","92.7699698831877","-0.0365249655661749","4651","94","0.0158341055851702","-0.0136243015849405","34811.4524189062","35056.2908264509","-17367.7262094531","11.4943674463714"
"moment_NAcwL1D","DF2","mm_H2r","0.329110886387741","0.0251288017929469","4551","1.68939469747993e-38","92.7699698831877","-0.0365249655661749","4651","94","0.378363337901917","0.279858434873565","34811.4524189062","35056.2908264509","-17367.7262094531","11.4943674463714"
"moment_NA_bray.bal.suc:person_CESD","DF2","mm_H2r","-27.9427926173689","9.31811931690704","4551","0.00272548370015541","92.7699698831877","-0.0365249655661749","4651","94","-9.67927875623111","-46.2063064785067","34811.4524189062","35056.2908264509","-17367.7262094531","11.4943674463714"
"moment_NA_bray.gra.suc:person_CESD","DF2","mm_H2r","-21.9481446719688","7.55618880813388","4551","0.00369425261504551","92.7699698831877","-0.0365249655661749","4651","94","-7.13801460802644","-36.7582747359112","34811.4524189062","35056.2908264509","-17367.7262094531","11.4943674463714"
"(Intercept)","DF3","mm_H1s","14.822273482444","0.605546664419398","9796","1.75994205738012e-128","81.8839476226244","-0.0577321638003329","10000","201","16.0091449447061","13.635402020182","73395.3292144976","73489.0571377077","-36684.6646072488","10.8561671956642"
"moment_NA_bray.bal.succw","DF3","mm_H1s","-2.82286700951303","0.572216158662048","9796","8.22160253293226e-07","81.8839476226244","-0.0577321638003329","10000","201","-1.70132333853542","-3.94441068049064","73395.3292144976","73489.0571377077","-36684.6646072488","10.8561671956642"
"moment_NAcwL1D","DF3","mm_H1s","0.359293848246893","0.0167273292054944","9796","4.80947125916855e-100","81.8839476226244","-0.0577321638003329","10000","201","0.392079413489662","0.326508283004124","73395.3292144976","73489.0571377077","-36684.6646072488","10.8561671956642"
"timecw","DF3","mm_H1s","-0.0293428230524","0.00447781540522532","9796","5.92563947456684e-11","81.8839476226244","-0.0577321638003329","10000","201","-0.0205663048581583","-0.0381193412466416","73395.3292144976","73489.0571377077","-36684.6646072488","10.8561671956642"
"moment_NA_bray.bal.succb","DF3","mm_H1s","-31.3072350947275","7.96942467888474","199","0.000117882963575422","81.8839476226244","-0.0577321638003329","10000","201","-15.6871627241134","-46.9273074653416","73395.3292144976","73489.0571377077","-36684.6646072488","10.8561671956642"
"(Intercept)","DF3","mm_H1r","16.2085442953726","0.75575763518981","9795","9.42079149685071e-100","79.8235619642532","-0.0412813065455574","10000","201","17.6898292603447","14.7272593304006","73310.4410144651","73433.008298663","-36638.2205072326","10.8115502002389"
"moment_NA_bray.bal.suc","DF3","mm_H1r","-5.44325949684816","0.747340082233298","9795","3.50311182631033e-13","79.8235619642532","-0.0412813065455574","10000","201","-3.97847293567089","-6.90804605802542","73310.4410144651","73433.008298663","-36638.2205072326","10.8115502002389"
"moment_NA_bray.gra.suc","DF3","mm_H1r","-2.94233311114322","0.744585629223841","9795","7.81629707553239e-05","79.8235619642532","-0.0412813065455574","10000","201","-1.4829452778645","-4.40172094442195","73310.4410144651","73433.008298663","-36638.2205072326","10.8115502002389"
"moment_NAcwL1D","DF3","mm_H1r","0.331099487972845","0.0168707295058292","9795","3.81004506547824e-84","79.8235619642532","-0.0412813065455574","10000","201","0.36416611780427","0.29803285814142","73310.4410144651","73433.008298663","-36638.2205072326","10.8115502002389"
"timecw","DF3","mm_H1r","-0.0305990120966032","0.00454796798518435","9795","1.81553813947243e-11","79.8235619642532","-0.0412813065455574","10000","201","-0.0216849948456419","-0.0395130293475646","73310.4410144651","73433.008298663","-36638.2205072326","10.8115502002389"
"(Intercept)","DF3","mm_H2s","8.63416723589658","0.855760603754458","9795","8.03915540004648e-24","81.8837281368993","-0.0580057034997498","10000","201","10.3114580192553","6.95687645253784","73349.8425185383","73522.873881583","-36650.9212592692","10.5606968247439"
"moment_NA_bray.bal.succw","DF3","mm_H2s","0.295340744071413","0.961006205560577","9795","0.758602928719113","81.8837281368993","-0.0580057034997498","10000","201","2.17891290697014","-1.58823141882732","73349.8425185383","73522.873881583","-36650.9212592692","10.5606968247439"
"person_CESD","DF3","mm_H2s","29.2013347044793","4.67399248647543","198","2.50134852917529e-09","81.8837281368993","-0.0580057034997498","10000","201","38.3623599779712","20.0403094309875","73349.8425185383","73522.873881583","-36650.9212592692","10.5606968247439"
"timecw","DF3","mm_H2s","-0.0286183761533294","0.00447984960148928","9795","1.75426967142904e-10","81.8837281368993","-0.0580057034997498","10000","201","-0.0198378709344104","-0.0373988813722484","73349.8425185383","73522.873881583","-36650.9212592692","10.5606968247439"
"moment_NA_bray.bal.succb","DF3","mm_H2s","-24.9116867361937","6.7047118844779","198","0.000263738051511466","81.8837281368993","-0.0580057034997498","10000","201","-11.770451442617","-38.0529220297703","73349.8425185383","73522.873881583","-36650.9212592692","10.5606968247439"
"moment_NAcwL1D","DF3","mm_H2s","0.367122977351572","0.0168111165078204","9795","2.8579628436248e-103","81.8837281368993","-0.0580057034997498","10000","201","0.4000727657069","0.334173188996244","73349.8425185383","73522.873881583","-36650.9212592692","10.5606968247439"
"moment_NA_bray.bal.succw:person_CESD","DF3","mm_H2s","-15.7350807623504","4.53244133957598","9795","0.000519488417638197","81.8837281368993","-0.0580057034997498","10000","201","-6.85149573678144","-24.6186657879193","73349.8425185383","73522.873881583","-36650.9212592692","10.5606968247439"
"(Intercept)","DF3","mm_H2r","8.15532064538287","0.98784061587112","9793","1.70514490322927e-16","79.6228040042026","-0.0391586374966468","10000","201","10.0914882524903","6.21915303827547","73261.9294537929","73535.8919757615","-36592.9647268964","10.467363087075"
"moment_NA_bray.bal.suc","DF3","mm_H2r","1.57273239074874","1.17334823955634","9793","0.18015296297189","79.6228040042026","-0.0391586374966468","10000","201","3.87249494027917","-0.727030158781692","73261.9294537929","73535.8919757615","-36592.9647268964","10.467363087075"
"moment_NA_bray.gra.suc","DF3","mm_H2r","2.53294049673625","1.2372803508035","9793","0.0406666531019156","79.6228040042026","-0.0391586374966468","10000","201","4.95800998431112","0.107871009161389","73261.9294537929","73535.8919757615","-36592.9647268964","10.467363087075"
"person_CESD","DF3","mm_H2r","38.1679477682098","5.70928007132232","199","2.27095857925837e-10","79.6228040042026","-0.0391586374966468","10000","201","49.3581367080015","26.9777588284181","73261.9294537929","73535.8919757615","-36592.9647268964","10.467363087075"
"timecw","DF3","mm_H2r","-0.0290328976782397","0.00455059171525389","9793","1.85064445600947e-10","79.6228040042026","-0.0391586374966468","10000","201","-0.0201137379163421","-0.0379520574401373","73261.9294537929","73535.8919757615","-36592.9647268964","10.467363087075"
"moment_NAcwL1D","DF3","mm_H2r","0.335815241794838","0.0168936065585554","9793","3.10728542293774e-86","79.6228040042026","-0.0391586374966468","10000","201","0.368926710649606","0.302703772940069","73261.9294537929","73535.8919757615","-36592.9647268964","10.467363087075"
"moment_NA_bray.bal.suc:person_CESD","DF3","mm_H2r","-32.7202028306613","6.13703651564165","9793","9.95202552110755e-08","79.6228040042026","-0.0391586374966468","10000","201","-20.6916112600037","-44.748794401319","73261.9294537929","73535.8919757615","-36592.9647268964","10.467363087075"
"moment_NA_bray.gra.suc:person_CESD","DF3","mm_H2r","-25.6826055965407","5.99028372344125","9793","1.82527279195438e-05","79.6228040042026","-0.0391586374966468","10000","201","-13.9416494985958","-37.4235616944855","73261.9294537929","73535.8919757615","-36592.9647268964","10.467363087075"
